pl_name,pl_rade,pl_bmasse
"GJ 1214 b",2.27000000,6.43000000
"GJ 1214 b",2.67800000,6.55000000
"GJ 1214 b",2.84708600,6.26125100
"TOI-4010 b",3.02000000,11.00000000
"TOI-2384 b",11.48920522,624.85064816
"HAT-P-28 b",13.58500000,198.95300000
"HD 3167 b",1.70000000,5.02000000
"HD 3167 c",3.01000000,9.80000000
"TOI-1710 b",5.15000000,18.40000000
"TOI-3894 b",15.22179579,270.15414595
"HD 3167 b",1.62600000,5.59000000
"NGTS-10 b",13.50684500,687.14846000
"HD 3167 b",1.57400000,5.69000000
"HD 3167 c",2.74000000,8.33000000
"COCONUTS-2 b",12.44196858,2002.31896410
"HD 3167 b",1.62700000,4.73000000
"HD 3167 c",2.92300000,10.67000000
"HD 3167 b",1.67000000,4.97000000
"KOI-1257 b",10.54000000,460.83000000
"HD 63454 b",12.31000000,126.00000000
"Kepler-85 c",2.14000000,20.90000000
"TOI-1248 b",6.80848590,27.40000000
"TOI-4773 b",15.22179579,1687.66884117
"Kepler-32 b",2.25000000,9.40000000
"K2-24 c",7.50000000,15.40000000
"Kepler-31 d",3.90000000,2161.24400000
"Kepler-109 c",2.65000000,8.20000000
"TRAPPIST-1 e",0.92000000,0.69200000
"EPIC 220674823 b",1.87000000,8.03000000
"Kepler-18 d",6.63000000,15.70000000
"TOI-4734 b",10.91754720,61.65871096
"TOI-1386 b",6.21638650,45.80000000
"Kepler-29 c",3.14000000,4.00000000
"HIP 41378 b",2.59500000,6.89000000
"CoRoT-23 b",11.77000000,889.90000000
"Kepler-197 c",1.23000000,5.30000000
"Kepler-74 b",14.80000000,216.12000000
"Kepler-391 b",2.50000000,1100.00000000
"CoRoT-28 b",10.70459500,153.82972000
"Kepler-326 b",3.03000000,44.60000000
"Kepler-9 b",8.85000000,2175.00000000
"KOI-3503 c",1.21000000,10.36000000
"CoRoT-7 b",1.68000000,21.00000000
"Kepler-223 d",5.24000000,8.00000000
"Kepler-176 c",2.56000000,23.00000000
"NGTS-34 b",3.65000000,19.10000000
"Kepler-435 b",22.30591000,270.15550000
"Kepler-82 b",3.95000000,51.00000000
"HAT-P-2 b",11.24262700,2771.47760000
"TrES-4 b",19.62695900,292.40360000
"HAT-P-6 b",14.90797000,336.58197000
"HD 209458 b",15.23300000,217.70400000
"WASP-2 b",12.00500000,290.80200000
"WASP-2 b",12.52000000,290.48400000
"WASP-18 b",13.05900000,3314.83000000
"HAT-P-30 b",15.02000000,225.96800000
"WASP-35 b",14.79600000,228.82800000
"HAT-P-32 b",20.05300000,273.32200000
"Kepler-17 b",14.68000000,778.65000000
"Qatar-2 b",12.82300000,790.41000000
"WASP-79 b",23.43000000,286.03000000
"KELT-1 b",12.44200000,8654.15000000
"TrES-2 b",13.10300000,380.74400000
"WASP-3 b",15.52400000,559.36000000
"HAT-P-38 b",9.24700000,84.85700000
"WASP-1 b",16.97000000,292.00000000
"HAT-P-41 b",18.88700000,254.25300000
"WASP-49 b",12.49800000,120.13500000
"TOI-7041 b",11.43316031,114.41822652
"WASP-10 b",11.96000300,1020.23430000
"WASP-14 b",14.35872900,2294.73260000
"WASP-2 b",12.00483900,293.99275000
"WASP-34 b",13.67498000,185.29489000
"WASP-37 b",13.00244000,546.66760000
"WASP-39 b",14.23543000,87.40325000
"WASP-3 b",15.87194400,600.69870000
"WASP-50 b",12.92397700,464.03180000
"WASP-6 b",13.71981600,153.51189000
"XO-4 b",15.02006000,512.34196000
"WASP-78 b",17.82231000,259.66711000
"WASP-79 b",20.40038000,267.93069000
"WASP-74 b",15.73743600,262.52758000
"HD 202772 A b",17.31790500,323.23311000
"WASP-38 b",12.21781000,841.61384000
"HAT-P-13 b",14.35872900,280.64389000
"HAT-P-18 b",11.15295500,63.56600000
